batch_size, input_size, circuit_size, degree, time (in sec)
2,2,6,3,1.834e-06
2,4,13,3,2.219e-06
2,8,33,3,1.8706e-05
2,16,97,3,1.5366e-05
2,32,321,3,5.3275e-05
2,64,1153,3,0.000197957
2,128,4353,3,0.000845115
2,256,16897,3,0.00337998
2,512,66561,3,0.0147969
2,1024,264193,3,0.0555424
2,2048,1052673,3,0.217976
2,4096,4202497,3,0.904106
,,,,
4,2,6,3,3.105e-06
4,4,13,3,3.922e-06
4,8,33,3,1.013e-05
4,16,97,3,2.9792e-05
4,32,321,3,0.000106894
4,64,1153,3,0.000421508
4,128,4353,3,0.00179171
4,256,16897,3,0.00679437
4,512,66561,3,0.0294255
4,1024,264193,3,0.110915
4,2048,1052673,3,0.437034
4,4096,4202497,3,1.80816
,,,,
8,2,6,3,4.575e-06
8,4,13,3,6.891e-06
8,8,33,3,1.9282e-05
8,16,97,3,6.6032e-05
8,32,321,3,0.00020991
8,64,1153,3,0.000826243
8,128,4353,3,0.00328252
8,256,16897,3,0.0135814
8,512,66561,3,0.0555348
8,1024,264193,3,0.220409
8,2048,1052673,3,0.873476
8,4096,4202497,3,3.61396
,,,,
16,2,6,3,7.706e-06
16,4,13,3,1.3514e-05
16,8,33,3,4.5434e-05
16,16,97,3,0.00014168
16,32,321,3,0.000446564
16,64,1153,3,0.00174746
16,128,4353,3,0.00672007
16,256,16897,3,0.0276901
16,512,66561,3,0.110651
16,1024,264193,3,0.436467
16,2048,1052673,3,1.75899
16,4096,4202497,3,7.20784
,,,,
32,2,6,3,1.4024e-05
32,4,13,3,2.5958e-05
32,8,33,3,7.4717e-05
32,16,97,3,0.000244541
32,32,321,3,0.000848398
32,64,1153,3,0.00333074
32,128,4353,3,0.0133683
32,256,16897,3,0.055228
32,512,66561,3,0.219003
32,1024,264193,3,0.872287
32,2048,1052673,3,3.51672
32,4096,4202497,3,14.4273
,,,,
64,2,6,3,2.5472e-05
64,4,13,3,6.3101e-05
64,8,33,3,0.000158765
64,16,97,3,0.000510346
64,32,321,3,0.00172817
64,64,1153,3,0.00674815
64,128,4353,3,0.0263946
64,256,16897,3,0.106578
64,512,66561,3,0.420253
64,1024,264193,3,1.68291
64,2048,1052673,3,6.77581
64,4096,4202497,3,28.5181
,,,,
128,2,6,3,6.6837e-05
128,4,13,3,0.000112989
128,8,33,3,0.000324711
128,16,97,3,0.000974018
128,32,321,3,0.00342667
128,64,1153,3,0.0133691
128,128,4353,3,0.0525576
128,256,16897,3,0.210441
128,512,66561,3,0.859662
128,1024,264193,3,3.49606
128,2048,1052673,3,13.9386
128,4096,4202497,3,56.8204
,,,,
